discipline,M,rho,T,h,k,seed,num_packets,simulation_EW,theoretical_EW,absolute_error,relative_error
exhaustive,20,0.6,3.0,0.8,1,1,18020,21.75706025670892,21.65,0.10706025670892316,0.004945046499257421
exhaustive,20,0.6,3.0,0.8,1,2,18107,22.115987123498122,21.65,0.4659871234981239,0.021523654665040366
exhaustive,20,0.6,3.0,0.8,1,3,18036,21.635556885690747,21.65,0.014443114309251825,0.00066711844384535
exhaustive,20,0.7,3.0,0.8,1,1,21064,29.710577422338016,29.23333333333333,0.4772440890046852,0.016325339418632335
exhaustive,20,0.7,3.0,0.8,1,2,21180,30.67059276613895,29.23333333333333,1.437259432805618,0.049165088921514874
exhaustive,20,0.7,3.0,0.8,1,3,20950,29.162242245826445,29.23333333333333,0.0710910875068862,0.0024318501997794596
limited,5,0.1,3.0,0.8,1,1,3040,2.5151760367132754,2.5076335877862594,0.007542448927015943,0.003007795462523862
limited,5,0.1,3.0,0.8,1,2,3049,2.4694016094904323,2.5076335877862594,0.03823197829582714,0.01524623792010154
limited,5,0.1,3.0,0.8,1,3,3079,2.474266198649219,2.5076335877862594,0.033367389137040515,0.013306325652822854
limited,5,0.2,3.0,0.8,1,1,5992,3.2319676199612624,3.1875,0.04446761996126236,0.013950625870199957
limited,5,0.2,3.0,0.8,1,2,6081,3.1919149954294856,3.1875,0.004414995429485646,0.0013850966053288302
limited,5,0.2,3.0,0.8,1,3,6070,3.245638370981778,3.1875,0.05813837098177821,0.01823948893545983
limited,5,0.3,3.0,0.8,1,1,8995,4.181707084975302,4.14516129032258,0.036545794652721675,0.008816495208049589
limited,5,0.3,3.0,0.8,1,2,9156,4.23448067241529,4.14516129032258,0.08931938209271006,0.021547866497074027
limited,5,0.3,3.0,0.8,1,3,9097,4.356610725703782,4.14516129032258,0.2114494353812022,0.05101114783515385
limited,5,0.4,3.0,0.8,1,1,12055,5.7357117372809725,5.594594594594595,0.14111714268637776,0.02522383709853129
limited,5,0.4,3.0,0.8,1,2,12134,5.703796068157262,5.594594594594595,0.10920147356266696,0.01951910397013854
limited,5,0.4,3.0,0.8,1,3,12160,5.875142255366813,5.594594594594595,0.2805476607722186,0.05014620023464777
limited,5,0.5,3.0,0.8,1,1,15078,8.223962191749255,8.045454545454545,0.17850764629470994,0.022187391064879203
limited,5,0.5,3.0,0.8,1,2,15120,8.277403847409838,8.045454545454545,0.23194930195529295,0.028829856740205904
